unnamed:_0,customer,state,customer_lifetime_value,response,coverage,education,effective_to_date,employmentstatus,gender,income,location_code,marital_status,monthly_premium_auto,months_since_last_claim,months_since_policy_inception,number_of_open_complaints,number_of_policies,policy_type,policy,renew_offer_type,sales_channel,total_claim_amount,vehicle_class,vehicle_size,vehicle_type,month
445,jp10227,california,12280.76661,yes,premium,college,2011-01-01,employed,m,88340,suburban,married,102,16.0,1,0.0,2,corporate auto,corporate l2,offer1,branch,489.6,two-door car,medsize,a,1
446,bp49831,washington,2926.5223,no,extended,bachelor,2011-01-16,employed,f,23656,suburban,single,80,11.0,1,3.0,1,corporate auto,corporate l3,offer2,branch,384.0,four-door car,medsize,a,1
447,hd95496,oregon,7851.901368,no,basic,master,2011-02-03,employed,m,25950,urban,married,66,27.0,1,0.0,2,personal auto,personal l1,offer4,agent,271.697529,two-door car,medsize,a,2
448,gt66241,california,2414.072446,no,basic,high school or below,2011-01-08,unemployed,m,0,suburban,single,71,25.0,30,0.0,1,personal auto,personal l3,offer2,call center,511.2,four-door car,medsize,a,1
449,ff65294,oregon,10348.01348,no,extended,high school or below,2011-01-23,employed,m,34244,suburban,married,87,14.0,34,2.0,2,personal auto,personal l3,offer1,branch,417.6,four-door car,medsize,a,1
450,rb28630,oregon,5894.907375,no,basic,high school or below,2011-02-20,employed,f,39381,suburban,married,74,15.149070740488469,55,0.384256105867471,7,personal auto,personal l3,offer2,branch,355.2,four-door car,small,a,2
451,vo87159,oregon,23086.36478,no,basic,high school or below,2011-02-01,employed,f,69240,urban,single,194,16.0,29,0.0,2,personal auto,personal l3,offer2,branch,744.769131,luxury suv,medsize,a,2
452,ws25565,california,8509.850887,yes,basic,master,2011-01-31,disabled,m,26057,suburban,divorced,74,15.149070740488469,63,0.384256105867471,2,personal auto,personal l1,offer1,call center,523.888845,four-door car,small,a,1
453,zd63451,california,2503.660407,no,basic,bachelor,2011-01-11,employed,m,53338,rural,married,63,24.0,35,1.0,1,personal auto,personal l2,offer4,agent,35.45384,four-door car,medsize,a,1
454,ub28078,california,4200.373728,no,premium,master,2011-02-11,employed,m,51510,suburban,divorced,106,11.0,17,0.0,1,personal auto,personal l2,offer2,branch,688.547375,four-door car,medsize,a,2
455,po56357,california,5363.528173,no,basic,high school or below,2011-01-01,employed,f,64604,urban,married,67,18.0,71,1.0,8,personal auto,personal l3,offer1,web,272.445607,four-door car,medsize,a,1
456,uh89141,oregon,33279.77231,no,basic,high school or below,2011-01-23,employed,f,59130,urban,married,117,15.149070740488469,7,0.384256105867471,2,corporate auto,corporate l3,offer4,call center,436.533172,sports car,medsize,a,1
457,bz85280,oregon,7284.262288,no,basic,college,2011-02-23,medical leave,m,10334,urban,married,64,5.0,80,0.0,2,personal auto,personal l1,offer3,agent,296.962938,four-door car,medsize,a,2
458,dj77787,arizona,7281.44014,no,basic,high school or below,2011-01-07,unemployed,f,0,suburban,married,69,28.0,28,3.0,2,personal auto,personal l2,offer3,call center,371.803029,four-door car,medsize,a,1
459,rv98763,oregon,6410.967544,no,extended,college,2011-02-08,employed,m,61709,urban,married,82,5.0,41,2.0,7,personal auto,personal l3,offer3,branch,275.395894,four-door car,medsize,a,2
460,xh47320,nevada,2937.424534,no,basic,master,2011-01-10,employed,f,83195,urban,single,73,18.0,36,1.0,1,personal auto,personal l1,offer1,call center,332.693627,two-door car,medsize,a,1
461,iy77611,arizona,26223.81193,no,basic,high school or below,2011-01-07,unemployed,m,0,suburban,single,115,15.149070740488469,15,0.384256105867471,2,corporate auto,corporate l3,offer1,call center,828.0,suv,medsize,a,1
462,xq12791,california,3401.881747,no,extended,high school or below,2011-01-21,employed,m,41972,suburban,divorced,86,20.0,23,0.0,1,personal auto,personal l3,offer2,branch,691.709371,four-door car,medsize,a,1
463,kp51068,oregon,2640.58732,no,basic,bachelor,2011-02-01,employed,m,59961,urban,single,68,8.0,7,0.0,1,personal auto,personal l3,offer1,branch,291.91645,four-door car,medsize,a,2
464,ks36311,california,2701.039719,no,basic,college,2011-02-19,employed,f,39141,suburban,married,68,22.0,7,0.0,1,personal auto,personal l1,offer2,branch,402.456296,four-door car,small,a,2
465,db75522,california,6988.401604,no,extended,college,2011-02-26,employed,f,22436,suburban,married,89,24.0,21,0.0,3,special auto,special l2,offer2,branch,427.2,four-door car,small,a,2
466,zn98560,california,7896.706446,no,basic,college,2011-02-12,unemployed,m,0,rural,married,111,22.0,21,0.0,8,corporate auto,corporate l1,offer1,branch,190.120714,suv,medsize,a,2
467,gb70736,oregon,5510.965059,no,basic,college,2011-01-21,employed,f,99553,rural,married,68,14.0,85,0.0,6,corporate auto,corporate l3,offer4,web,111.586995,four-door car,medsize,a,1
468,lp59331,arizona,5282.543094,no,basic,college,2011-02-26,employed,m,38606,suburban,single,68,16.0,99,0.0,3,personal auto,personal l3,offer1,branch,413.288851,four-door car,medsize,a,2
469,fm54600,washington,18853.73945,no,premium,high school or below,2011-01-14,unemployed,f,0,suburban,single,173,24.0,21,0.0,2,corporate auto,corporate l2,offer2,branch,1245.6,suv,medsize,a,1
470,au71562,washington,2936.726182,no,basic,high school or below,2011-02-11,employed,f,27179,suburban,married,74,15.149070740488469,69,0.384256105867471,1,personal auto,personal l3,offer2,branch,355.2,four-door car,medsize,a,2
471,fs42690,washington,3781.4548,no,extended,college,2011-02-01,employed,m,57647,suburban,married,94,3.0,99,0.0,1,personal auto,personal l3,offer1,branch,451.2,two-door car,medsize,a,2
472,uu70820,arizona,5867.12642,no,basic,college,2011-02-22,employed,f,27880,urban,married,74,4.0,9,0.0,5,personal auto,personal l3,offer2,call center,199.444294,four-door car,large,a,2
473,zu73588,california,5989.773931,yes,premium,college,2011-01-19,employed,m,66839,suburban,single,154,33.0,24,0.0,1,personal auto,personal l3,offer2,branch,739.2,sports car,medsize,a,1
474,bc35753,arizona,2671.295549,no,basic,college,2011-01-18,employed,f,45525,suburban,married,66,1.0,41,0.0,1,personal auto,personal l2,offer4,agent,316.8,two-door car,small,a,1
475,mb20764,california,17622.1332,no,premium,high school or below,2011-02-18,unemployed,m,0,suburban,single,252,31.0,10,0.0,3,corporate auto,corporate l2,offer4,branch,1814.4,luxury suv,medsize,a,2
476,ra89822,california,34611.37896,yes,basic,high school or below,2011-01-14,employed,f,20090,suburban,married,109,10.0,59,0.0,2,personal auto,personal l2,offer2,agent,523.2,sports car,medsize,a,1
477,mt91823,arizona,13438.04189,no,basic,college,2011-01-21,employed,f,69693,suburban,married,112,15.149070740488469,62,0.384256105867471,2,special auto,special l2,offer1,branch,537.6,sports car,small,a,1
478,do98345,california,13156.74895,no,extended,high school or below,2011-02-28,employed,m,72517,urban,married,82,33.0,27,0.0,2,personal auto,personal l3,offer2,web,371.458196,two-door car,medsize,a,2
479,co12132,california,8879.790017,yes,basic,high school or below,2011-02-03,employed,f,52583,urban,single,113,12.0,59,0.0,7,personal auto,personal l3,offer1,agent,528.20086,suv,small,a,2
480,ec71986,washington,2429.280527,no,basic,high school or below,2011-01-18,medical leave,f,26736,suburban,married,63,6.0,64,0.0,1,personal auto,personal l1,offer1,agent,367.92773,four-door car,medsize,a,1
481,zw84453,arizona,5116.237577,no,basic,bachelor,2011-01-08,unemployed,f,0,rural,married,70,1.0,11,0.0,5,personal auto,personal l2,offer1,web,131.401291,four-door car,medsize,a,1
482,hp42153,washington,2351.878675,no,basic,high school or below,2011-01-29,medical leave,f,12928,suburban,single,64,12.0,74,0.0,1,personal auto,personal l3,offer1,agent,307.2,four-door car,medsize,a,1
483,sh75038,california,5981.381645,no,basic,bachelor,2011-02-16,employed,f,88723,suburban,divorced,74,12.0,94,0.0,8,personal auto,personal l2,offer1,agent,355.2,two-door car,medsize,a,2
484,hd32044,oregon,8288.155579,no,premium,master,2011-01-25,employed,f,33816,suburban,divorced,106,10.0,97,2.0,3,corporate auto,corporate l3,offer1,branch,508.8,four-door car,medsize,a,1
485,zw25874,oregon,2521.555686,no,basic,bachelor,2011-02-16,employed,m,53703,rural,single,67,3.0,45,2.0,1,special auto,special l3,offer1,branch,67.632476,four-door car,medsize,a,2
486,ve52406,california,2471.528431,yes,basic,high school or below,2011-01-15,employed,m,95697,rural,married,61,16.0,55,0.0,1,corporate auto,corporate l3,offer2,agent,114.273025,two-door car,medsize,a,1
487,lv62981,arizona,6874.326693,no,extended,college,2011-01-04,employed,m,22093,suburban,divorced,87,15.0,8,0.0,9,corporate auto,corporate l3,offer4,branch,616.749885,two-door car,medsize,a,1
488,yo49328,arizona,12296.49757,no,basic,high school or below,2011-01-06,employed,m,55193,suburban,married,105,8.0,22,1.0,2,personal auto,personal l2,offer3,branch,504.0,suv,medsize,a,1
489,gu42671,arizona,6106.941981,no,extended,bachelor,2011-02-21,medical leave,f,16654,suburban,married,79,23.0,31,0.0,7,personal auto,personal l3,offer1,branch,379.2,four-door car,medsize,a,2
490,xv11038,california,9223.987144,no,extended,college,2011-02-25,medical leave,f,18814,suburban,single,122,20.0,94,0.0,3,personal auto,personal l2,offer2,branch,585.6,sports car,medsize,a,2
491,ie97795,california,6878.008403,no,extended,high school or below,2011-02-05,employed,m,39020,suburban,married,87,0.0,4,0.0,5,corporate auto,corporate l1,offer3,agent,485.01384,four-door car,medsize,a,2
492,ge62437,arizona,12902.56014,no,premium,college,2011-02-02,employed,f,86584,suburban,single,111,33.0,54,2.0,2,personal auto,personal l3,offer1,call center,532.8,four-door car,large,a,2
493,bi81476,oregon,10346.11154,no,extended,high school or below,2011-02-09,employed,f,55906,rural,married,86,15.149070740488469,3,0.384256105867471,2,personal auto,personal l2,offer3,agent,58.469264,four-door car,medsize,a,2
494,ay55759,california,20096.89337,yes,basic,high school or below,2011-01-01,employed,f,92766,suburban,married,71,17.0,15,0.0,2,personal auto,personal l2,offer2,agent,379.029102,four-door car,medsize,a,1
495,dg33206,washington,8861.900439,no,premium,doctor,2011-01-16,employed,f,41854,urban,married,110,17.0,44,0.0,8,personal auto,personal l3,offer1,agent,481.269644,four-door car,medsize,a,1
496,qd86074,oregon,9035.671134,yes,premium,high school or below,2011-01-21,employed,f,34337,suburban,married,113,15.149070740488469,44,0.384256105867471,9,corporate auto,corporate l1,offer2,web,542.4,four-door car,large,a,1
497,qv55524,washington,7503.367741,no,extended,college,2011-02-06,employed,m,52464,suburban,married,95,9.0,15,0.0,3,personal auto,personal l2,offer4,agent,515.930856,four-door car,medsize,a,2
498,ih17933,washington,4462.445111,no,basic,college,2011-02-08,employed,m,70088,urban,married,112,0.0,33,0.0,1,personal auto,personal l3,offer2,call center,536.481665,suv,large,a,2
499,xs76166,oregon,3245.479985,no,extended,college,2011-01-17,employed,f,35592,suburban,married,82,34.0,38,0.0,1,personal auto,personal l3,offer4,call center,496.805418,two-door car,small,a,1
500,kr10942,oregon,2651.615963,no,basic,bachelor,2011-01-21,employed,f,33201,urban,married,66,9.0,56,0.0,1,personal auto,personal l3,offer4,branch,314.044227,two-door car,medsize,a,1
501,by84257,arizona,2379.614363,no,basic,college,2011-02-10,unemployed,m,0,suburban,single,71,28.0,15,0.0,1,special auto,special l1,offer4,branch,747.107317,four-door car,medsize,a,2
502,pt45842,arizona,4642.020128,no,basic,college,2011-02-11,unemployed,m,0,suburban,single,64,10.0,15,0.0,5,personal auto,personal l3,offer1,web,770.254285,two-door car,small,a,2
503,wq23548,california,11003.54385,no,basic,master,2011-02-22,unemployed,f,0,suburban,single,102,20.0,7,1.0,2,personal auto,personal l2,offer4,web,489.6,suv,medsize,a,2
504,ap23850,washington,17771.54902,no,premium,high school or below,2011-01-23,unemployed,f,0,suburban,married,114,30.0,1,0.0,2,personal auto,personal l2,offer3,branch,547.2,two-door car,medsize,a,1
505,qg61936,california,4516.811394,no,extended,master,2011-01-02,unemployed,m,0,suburban,married,124,29.0,9,0.0,1,corporate auto,corporate l3,offer2,call center,595.2,suv,medsize,a,1
506,hk30754,arizona,9426.971158,no,extended,college,2011-01-16,medical leave,m,26263,suburban,divorced,85,11.0,31,0.0,2,special auto,special l2,offer4,agent,475.159732,two-door car,large,a,1
507,rh42306,arizona,4992.063043,no,basic,bachelor,2011-01-27,unemployed,f,0,suburban,single,71,6.0,5,0.0,3,corporate auto,corporate l2,offer3,web,653.388564,four-door car,small,a,1
508,bd12981,california,5732.686642,no,basic,college,2011-01-30,employed,f,39337,urban,single,74,29.0,1,1.0,9,personal auto,personal l2,offer1,agent,277.225868,four-door car,medsize,a,1
509,wd87578,nevada,7821.188278,no,premium,high school or below,2011-02-08,unemployed,f,0,suburban,single,109,31.0,74,0.0,3,personal auto,personal l2,offer2,call center,784.8,four-door car,medsize,a,2
510,jw45704,california,2308.692609,no,basic,bachelor,2011-02-07,unemployed,m,0,suburban,married,64,33.0,98,0.0,1,personal auto,personal l3,offer3,agent,431.768752,four-door car,medsize,a,2
511,hx36471,california,6788.084852,no,extended,high school or below,2011-01-13,unemployed,f,0,suburban,single,93,2.0,70,0.0,9,personal auto,personal l3,offer2,branch,855.341729,two-door car,medsize,a,1
512,hy46017,california,2776.772734,no,basic,college,2011-02-26,employed,f,70793,rural,married,69,32.0,1,0.0,1,personal auto,personal l3,offer2,web,62.625841,four-door car,large,a,2
513,fa57012,california,6141.961623,no,basic,college,2011-02-17,unemployed,m,0,suburban,single,182,24.0,45,0.0,1,special auto,special l2,offer3,branch,1310.4,luxury car,small,a,2
514,ac13887,california,4628.995325,no,basic,bachelor,2011-01-09,unemployed,m,0,suburban,single,67,25.0,21,0.0,4,corporate auto,corporate l1,offer1,branch,482.4,two-door car,medsize,a,1
515,nw14895,arizona,12883.11573,no,basic,bachelor,2011-01-02,employed,m,77469,suburban,divorced,109,2.0,98,1.0,2,personal auto,personal l2,offer1,agent,757.170246,suv,small,a,1
516,bg95711,california,16477.47799,no,extended,college,2011-02-22,employed,f,57264,rural,divorced,84,0.0,30,1.0,2,personal auto,personal l3,offer1,branch,129.249842,four-door car,medsize,a,2
517,ix32007,california,2864.820306,no,basic,bachelor,2011-01-06,unemployed,m,0,suburban,single,109,2.0,8,4.0,1,personal auto,personal l2,offer3,call center,1145.746845,suv,small,a,1
518,ci30899,california,4737.411455,no,basic,college,2011-01-13,unemployed,f,0,suburban,single,68,2.0,26,0.0,3,personal auto,personal l3,offer1,branch,326.4,two-door car,small,a,1
519,es90681,california,2417.759961,no,basic,college,2011-02-26,employed,f,51808,suburban,married,61,3.0,12,1.0,1,personal auto,personal l2,offer1,agent,351.149904,four-door car,small,a,2
520,jo17193,washington,2300.691547,yes,basic,bachelor,2011-01-15,retired,m,25905,suburban,divorced,63,21.0,12,0.0,1,personal auto,personal l3,offer1,agent,302.4,four-door car,large,a,1
521,ct18212,california,6874.84827,no,extended,bachelor,2011-02-17,unemployed,f,0,suburban,single,96,35.0,27,0.0,6,personal auto,personal l2,offer4,agent,691.2,four-door car,medsize,a,2
522,xo78284,arizona,3887.324208,no,extended,master,2011-01-20,employed,m,96335,rural,single,97,7.0,43,0.0,1,personal auto,personal l3,offer1,branch,161.388136,four-door car,small,a,1
523,lx24476,oregon,3619.060986,no,extended,bachelor,2011-01-24,unemployed,f,0,urban,married,98,27.0,47,0.0,1,personal auto,personal l3,offer2,web,310.842085,four-door car,medsize,a,1
524,wy58284,california,8622.835375,yes,basic,bachelor,2011-02-18,employed,m,97361,suburban,single,73,6.0,85,0.0,2,personal auto,personal l2,offer1,agent,350.4,four-door car,medsize,a,2
525,eo42272,california,10148.41973,no,basic,bachelor,2011-01-11,employed,f,44856,suburban,divorced,66,24.0,71,1.0,2,corporate auto,corporate l3,offer4,branch,316.8,four-door car,small,a,1
526,ka62636,oregon,4928.001408,no,basic,high school or below,2011-01-26,employed,m,97917,urban,single,67,14.0,32,5.0,3,personal auto,personal l2,offer4,agent,279.184512,two-door car,medsize,a,1
527,sy36127,california,2874.08847,no,basic,master,2011-02-28,employed,f,33462,rural,married,72,12.0,9,0.0,1,personal auto,personal l3,offer2,branch,112.425578,four-door car,medsize,a,2
528,wa94988,california,19327.87406,no,extended,bachelor,2011-02-03,employed,f,57245,suburban,single,124,25.0,15,0.0,2,corporate auto,corporate l3,offer2,call center,681.577742,sports car,small,a,2
529,kd69941,california,4941.650159,no,extended,bachelor,2011-01-11,unemployed,m,0,suburban,single,137,17.0,5,0.0,1,personal auto,personal l3,offer3,branch,986.4,suv,medsize,a,1
530,ni27358,arizona,7255.137772,no,basic,college,2011-02-21,employed,f,67352,urban,married,181,7.0,80,1.0,1,personal auto,personal l3,offer3,branch,560.947563,luxury car,small,a,2
531,wg15595,california,2759.618207,no,basic,college,2011-01-09,employed,m,64388,suburban,married,69,15.149070740488469,51,0.384256105867471,1,personal auto,personal l3,offer1,agent,331.2,two-door car,small,a,1
532,um83813,oregon,13379.81103,no,basic,bachelor,2011-02-06,unemployed,f,0,suburban,single,194,13.0,83,0.0,3,personal auto,personal l1,offer3,web,1396.8,luxury suv,small,a,2
533,cr48975,washington,24084.5352,no,basic,high school or below,2011-02-02,employed,m,65196,suburban,married,67,0.0,54,0.0,2,personal auto,personal l2,offer4,branch,396.082036,four-door car,medsize,a,2
534,uy61913,oregon,8847.444221,no,basic,college,2011-02-11,disabled,m,17950,urban,married,118,34.0,24,0.0,4,personal auto,personal l2,offer1,agent,425.489592,suv,medsize,a,2
535,ko44736,oregon,16979.79757,yes,basic,bachelor,2011-01-17,employed,m,35095,suburban,divorced,73,25.0,56,0.0,2,personal auto,personal l3,offer2,call center,525.6,two-door car,small,a,1
536,ay35539,oregon,2530.705137,yes,basic,bachelor,2011-01-21,employed,f,89451,rural,single,63,15.149070740488469,2,0.384256105867471,1,personal auto,personal l2,offer2,web,61.769564,four-door car,medsize,a,1
537,wx33904,arizona,6355.678846,no,basic,bachelor,2011-01-17,unemployed,m,0,suburban,divorced,61,25.0,79,0.0,2,special auto,special l2,offer1,branch,292.8,two-door car,medsize,a,1
538,yp40334,oregon,5308.246978,no,premium,doctor,2011-01-17,unemployed,f,0,rural,single,145,29.0,70,0.0,1,personal auto,personal l2,offer2,web,358.765757,suv,medsize,a,1
539,mw57614,arizona,2359.423599,yes,basic,bachelor,2011-01-11,disabled,f,19864,suburban,divorced,63,22.0,96,0.0,1,personal auto,personal l2,offer1,web,352.394515,four-door car,medsize,a,1
540,ss63511,california,8564.768226,yes,basic,high school or below,2011-02-17,employed,m,95697,rural,married,107,29.0,29,0.0,9,corporate auto,corporate l3,offer2,agent,178.006524,sports car,medsize,a,2
541,bk73302,california,3167.888725,no,extended,bachelor,2011-02-17,employed,m,61638,suburban,divorced,82,15.149070740488469,55,0.384256105867471,1,corporate auto,corporate l3,offer2,web,544.340079,four-door car,medsize,a,2
542,jl41129,california,7986.191274,no,basic,bachelor,2011-01-19,employed,m,74217,urban,married,100,35.0,3,0.0,6,personal auto,personal l1,offer2,branch,418.005524,suv,large,a,1
543,kt26739,nevada,3554.845264,yes,extended,master,2011-01-10,employed,f,58557,rural,married,88,4.0,83,0.0,1,personal auto,personal l2,offer1,branch,55.510526,four-door car,large,a,1
544,nz98813,california,13840.16012,no,basic,high school or below,2011-02-11,medical leave,f,29658,suburban,divorced,119,20.0,66,0.0,2,personal auto,personal l3,offer1,call center,571.2,suv,medsize,a,2
545,lb25094,california,2530.705137,yes,basic,bachelor,2011-01-21,employed,f,89451,rural,single,63,11.0,2,0.0,1,special auto,special l2,offer2,web,61.769564,four-door car,medsize,a,1
546,lz98947,nevada,24238.66071,no,basic,bachelor,2011-01-31,unemployed,f,0,suburban,single,109,19.0,49,2.0,2,personal auto,personal l1,offer1,branch,784.8,suv,medsize,a,1
547,fl85008,oregon,13466.92071,yes,basic,high school or below,2011-02-23,disabled,f,11432,suburban,married,119,11.0,9,0.0,2,personal auto,personal l2,offer2,agent,571.2,four-door car,medsize,a,2
548,hf75276,nevada,3052.629532,no,extended,high school or below,2011-01-12,unemployed,f,0,suburban,divorced,93,15.0,31,3.0,1,personal auto,personal l3,offer1,branch,446.4,four-door car,large,a,1
549,bx45636,california,9161.655119,no,basic,high school or below,2011-01-15,employed,f,91763,urban,married,113,22.0,64,0.0,3,special auto,special l3,offer1,call center,441.992043,suv,small,a,1
550,qb26845,oregon,11578.12643,no,basic,bachelor,2011-01-13,unemployed,m,0,suburban,single,115,21.0,46,0.0,2,personal auto,personal l3,offer1,agent,1163.620366,suv,medsize,a,1
551,cr37971,oregon,3900.906002,no,extended,bachelor,2011-02-09,employed,m,95018,urban,married,97,21.0,81,0.0,1,personal auto,personal l2,offer2,web,315.879728,four-door car,large,a,2
552,ne85389,oregon,23903.68234,no,basic,high school or below,2011-01-10,unemployed,f,0,suburban,married,74,12.0,72,1.0,2,personal auto,personal l3,offer2,branch,355.2,four-door car,medsize,a,1
553,wc28543,arizona,2399.17815,no,basic,bachelor,2011-01-23,disabled,m,20992,suburban,married,64,21.0,73,0.0,1,personal auto,personal l3,offer2,call center,307.2,two-door car,medsize,a,1
554,au23837,oregon,5010.37931,no,basic,bachelor,2011-01-19,employed,f,64014,urban,single,63,26.0,27,0.0,7,corporate auto,corporate l3,offer1,agent,295.871784,four-door car,medsize,a,1
555,ob52091,washington,8112.323843,no,basic,bachelor,2011-02-09,employed,m,87403,suburban,divorced,68,1.0,63,0.0,2,personal auto,personal l1,offer1,agent,456.290338,four-door car,medsize,a,2
556,tu27563,oregon,3647.24611,no,extended,bachelor,2011-01-10,employed,f,20694,suburban,married,94,29.0,89,1.0,1,personal auto,personal l2,offer2,branch,451.2,two-door car,medsize,a,1
557,gd89605,oregon,5384.532684,no,basic,master,2011-02-12,employed,f,59364,suburban,married,67,25.0,56,0.0,5,corporate auto,corporate l1,offer4,agent,321.6,four-door car,small,a,2
558,de71115,washington,2772.502139,no,basic,high school or below,2011-01-15,employed,m,68463,suburban,married,70,19.0,67,1.0,1,personal auto,personal l1,offer2,call center,336.0,four-door car,medsize,a,1
559,np91656,california,4911.773088,no,basic,bachelor,2011-01-09,unemployed,f,0,suburban,single,69,26.0,33,0.0,9,personal auto,personal l2,offer4,agent,496.8,four-door car,medsize,a,1
560,fq24781,oregon,2574.020376,yes,basic,master,2011-01-14,employed,f,34990,rural,single,65,23.0,73,0.0,1,personal auto,personal l1,offer2,web,42.689135,four-door car,medsize,a,1
561,zq96022,oregon,9594.78115,no,extended,college,2011-02-02,employed,f,31421,suburban,married,81,5.0,95,0.0,2,personal auto,personal l3,offer3,web,388.8,two-door car,medsize,a,2
562,kn34250,oregon,10208.92761,yes,extended,college,2011-02-14,employed,f,35482,suburban,married,129,21.0,59,0.0,3,corporate auto,corporate l2,offer1,branch,619.2,suv,medsize,a,2
563,si60881,oregon,9217.978125,no,basic,bachelor,2011-01-12,employed,f,26351,suburban,divorced,119,14.0,87,0.0,7,personal auto,personal l2,offer3,branch,571.2,suv,medsize,a,1
564,xd19934,oregon,10506.93706,no,extended,high school or below,2011-02-25,employed,m,61650,rural,single,88,8.0,2,0.0,2,personal auto,personal l3,offer2,web,117.470445,four-door car,medsize,a,2
565,ou79745,california,7619.482766,no,premium,college,2011-02-02,unemployed,m,0,suburban,divorced,105,5.0,42,0.0,5,personal auto,personal l3,offer1,agent,504.0,four-door car,medsize,a,2
566,mn62189,california,8991.98452,no,basic,high school or below,2011-01-19,medical leave,f,17331,suburban,divorced,117,13.0,39,0.0,6,personal auto,personal l2,offer1,agent,1138.255325,suv,medsize,a,1
567,qw21716,nevada,4923.950434,no,basic,bachelor,2011-01-30,employed,m,31093,suburban,married,63,3.0,78,0.0,3,personal auto,personal l2,offer2,branch,302.4,four-door car,medsize,a,1
568,lc20778,nevada,18745.39592,no,extended,master,2011-02-27,medical leave,f,27229,suburban,single,99,20.0,9,0.0,2,personal auto,personal l2,offer3,agent,475.2,four-door car,small,a,2
569,pr31642,oregon,4525.276524,no,basic,bachelor,2011-01-29,employed,f,32802,suburban,married,114,31.0,8,0.0,1,personal auto,personal l1,offer2,call center,547.2,suv,medsize,a,1
570,ue75424,california,10732.50747,no,extended,doctor,2011-02-22,employed,m,75728,rural,married,133,24.0,68,0.0,4,corporate auto,corporate l3,offer1,call center,44.159065,suv,medsize,a,2
571,fk37308,oregon,2703.466256,no,basic,doctor,2011-02-24,unemployed,f,0,rural,married,72,19.0,48,0.0,1,corporate auto,corporate l3,offer3,call center,41.927219,two-door car,medsize,a,2
572,tu25694,oregon,2458.746211,no,basic,high school or below,2011-01-06,unemployed,m,0,suburban,single,70,20.0,44,0.0,1,personal auto,personal l3,offer1,call center,504.0,four-door car,medsize,a,1
573,gc40999,oregon,11790.49617,yes,basic,college,2011-01-03,retired,m,25251,suburban,divorced,66,13.0,43,0.0,2,personal auto,personal l3,offer2,web,316.8,four-door car,medsize,a,1
574,wr85740,california,8149.769437,no,basic,doctor,2011-01-26,unemployed,f,0,suburban,married,71,28.0,76,0.0,2,corporate auto,corporate l3,offer2,call center,340.8,two-door car,medsize,a,1
575,mp85571,arizona,5558.31428,no,premium,bachelor,2011-02-20,unemployed,f,0,suburban,single,188,5.0,61,4.0,1,personal auto,personal l2,offer3,agent,2156.011022,suv,medsize,a,2
576,ls46182,nevada,2678.457672,no,extended,bachelor,2011-02-11,unemployed,m,0,suburban,single,83,3.0,85,1.0,1,personal auto,personal l2,offer1,branch,398.4,four-door car,medsize,a,2
577,gq46925,arizona,5821.684337,no,premium,high school or below,2011-02-15,employed,m,77563,urban,married,143,35.0,58,0.0,1,personal auto,personal l1,offer4,call center,545.999699,four-door car,medsize,a,2
578,gr31499,oregon,2541.627614,no,basic,master,2011-01-19,employed,f,23692,suburban,married,65,26.0,27,2.0,1,personal auto,personal l3,offer3,agent,312.0,two-door car,medsize,a,1
579,fs76657,oregon,5471.83429,no,basic,college,2011-02-06,employed,f,53526,urban,married,68,27.0,69,0.0,4,personal auto,personal l3,offer1,agent,278.902846,four-door car,medsize,a,2
580,nw21079,washington,4879.384813,no,basic,master,2011-01-14,employed,f,67163,rural,married,61,17.0,41,2.0,5,personal auto,personal l1,offer1,call center,33.192803,two-door car,small,a,1
581,dg80424,washington,2691.568951,no,basic,college,2011-01-24,employed,f,77411,urban,married,67,15.149070740488469,63,0.384256105867471,1,personal auto,personal l2,offer2,agent,257.900458,four-door car,medsize,a,1
582,ke36052,arizona,5325.724541,yes,basic,high school or below,2011-02-21,unemployed,m,0,suburban,married,73,17.0,44,0.0,7,corporate auto,corporate l1,offer2,call center,496.474767,two-door car,medsize,a,2
583,bu72276,california,5318.89664,yes,basic,bachelor,2011-01-12,employed,f,25134,suburban,married,67,3.0,0,0.0,6,personal auto,personal l3,offer2,call center,321.6,four-door car,small,a,1
584,ck36026,arizona,3440.361969,no,extended,bachelor,2011-02-05,medical leave,f,23870,suburban,married,91,4.0,92,0.0,1,personal auto,personal l3,offer2,web,500.577875,two-door car,medsize,a,2
585,gy23881,oregon,4782.349875,no,basic,high school or below,2011-02-28,employed,m,81687,suburban,single,61,7.0,77,0.0,6,personal auto,personal l2,offer2,call center,292.8,four-door car,medsize,a,2
586,gz79662,arizona,5484.588155,no,basic,high school or below,2011-02-21,employed,m,47611,suburban,married,69,17.0,65,0.0,4,corporate auto,corporate l3,offer2,call center,593.654484,four-door car,medsize,a,2
587,fj28407,california,5619.689084,yes,premium,high school or below,2011-01-26,unemployed,m,0,suburban,married,153,25.0,5,0.0,1,personal auto,personal l1,offer2,web,1027.000029,suv,medsize,a,1
588,nj43658,california,22721.47396,no,basic,master,2011-01-11,disabled,m,21724,suburban,married,198,4.0,51,0.0,2,corporate auto,corporate l1,offer1,agent,1505.230405,luxury suv,large,a,1
589,lk35963,california,17019.0061,no,basic,bachelor,2011-02-01,employed,f,89601,rural,married,70,15.149070740488469,8,0.384256105867471,2,personal auto,personal l3,offer2,branch,117.015463,two-door car,medsize,a,2
